listing_id,title,price,currency,bedrooms,bathrooms,area_m2,furnished,floor,location,details_raw,url
276674049,140 m2 3 Bedrooms Apartments for Rent in Amman Tla' Al Ali Al Shamali,20,JOD,3,2,140,Furnished,Second Floor,"Tla' Al Ali Al Shamali, Amman",3 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 140 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/276674049
280207993,Cozy furnished apartment for rent in a prime location in Abdoun,9000,JOD,3,2,170,Furnished,First Floor,"Abdoun, Amman",3 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 170 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280207993
261616521,100 m2 2 Bedrooms Apartments for Rent in Amman 7th Circle,,,2,2,100,Furnished,Second Floor,"7th Circle, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 100 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/261616521
280165089,480 m2 4 Bedrooms Apartments for Rent in Amman Airport Road - Manaseer Gs,1000,JOD,4,3,480,Furnished,Semi Ground Floor,"Airport Road - Manaseer Gs, Amman",4 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 480 m2 | Semi Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280165089
274147581,50 m2 Studio Apartments for Rent in Amman 7th Circle,20,JOD,0,1,50,Furnished,Ground Floor,"7th Circle, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/274147581
244516873,50 m2 Studio Apartments for Rent in Amman 7th Circle,20,JOD,0,1,50,Furnished,Ground Floor,"7th Circle, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/244516873
279884371,45 m2 Studio Apartments for Rent in Amman Jubaiha,300,JOD,0,1,45,Furnished,Ground Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 45 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279884371
280475847,A very unique opportunity - Brand-New #LuxuryApartment for Annual Rent in #DeirGhbar,13000,JOD,2,2,100,Furnished,First Floor,"Deir Ghbar, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 100 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280475847
264432667,160 m2 3 Bedrooms Apartments for Rent in Amman Tabarboor,,,3,3,160,Furnished,First Floor,"Tabarboor, Amman",3 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 160 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/264432667
279720759,180 m2 4 Bedrooms Apartments for Rent in Amman Al Bnayyat,200,JOD,4,4,180,Furnished,First Floor,"Al Bnayyat, Amman",4 Bedrooms | 4 Bathrooms | Furnished | Surface Area: 180 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279720759
280500621,100 m2 1 Bedroom Apartments for Rent in Amman Jubaiha,480,JOD,1,1,100,Furnished,Fourth Floor,"Jubaiha, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 100 m2 | Fourth Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280500621
279474961,160 m2 3 Bedrooms Apartments for Rent in Amman Tla' Al Ali Al Shamali,45,JOD,3,2,160,Unfurnished,First Floor,"Tla' Al Ali Al Shamali, Amman",3 Bedrooms | 2 Bathrooms | Unfurnished | Surface Area: 160 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279474961
276723973,100 m2 2 Bedrooms Apartments for Rent in Amman Al Rabiah,500,JOD,2,2,100,Furnished,Fourth Floor,"Al Rabiah, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 100 m2 | Fourth Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/276723973
276437611,40 m2 Studio Apartments for Rent in Amman Daheit Al Rasheed,25,JOD,0,1,40,Furnished,First Floor,"Daheit Al Rasheed, Amman",Studio | One Bathroom | Furnished | Surface Area: 40 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/276437611
277901657,50 m2 Studio Apartments for Rent in Amman University Street,15,JOD,0,1,50,Furnished,Third Floor,"University Street, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/277901657
280458605,125 m2 2 Bedrooms Apartments for Rent in Amman Deir Ghbar,1200,JOD,2,2,125,Furnished,Ground Floor,"Deir Ghbar, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 125 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280458605
280458551,210 m2 3 Bedrooms Apartments for Rent in Amman Deir Ghbar,15500,JOD,3,4,210,Unfurnished,First Floor,"Deir Ghbar, Amman",3 Bedrooms | 4 Bathrooms | Unfurnished | Surface Area: 210 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280458551
258236775,40 m2 Studio Apartments for Rent in Amman 7th Circle,20,JOD,0,1,40,Furnished,Third Floor,"7th Circle, Amman",Studio | One Bathroom | Furnished | Surface Area: 40 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/258236775
280885664,150 m2 3 Bedrooms Apartments for Rent in Amman Al Rabiah,400,JOD,3,2,150,Furnished,Ground Floor,"Al Rabiah, Amman",3 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 150 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280885664
249891223,100 m2 2 Bedrooms Apartments for Rent in Amman Abdoun,700,JOD,2,2,100,Furnished,Second Floor,"Abdoun, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 100 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/249891223
269876415,30 m2 Studio Apartments for Rent in Amman Al Rabiah,20,JOD,0,1,30,Furnished,Ground Floor,"Al Rabiah, Amman",Studio | One Bathroom | Furnished | Surface Area: 30 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/269876415
280429097,50 m2 Studio Apartments for Rent in Amman 7th Circle,35,JOD,0,1,50,Furnished,Ground Floor,"7th Circle, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280429097
273096879,40 m2 Studio Apartments for Rent in Amman 7th Circle,,,0,1,40,Furnished,First Floor,"7th Circle, Amman",Studio | One Bathroom | Furnished | Surface Area: 40 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/273096879
279453633,140 m2 3 Bedrooms Apartments for Rent in Amman Dahiet Al Ameer Rashed,900,JOD,3,2,140,Furnished,Third Floor,"Dahiet Al Ameer Rashed, Amman",3 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 140 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279453633
270393433,160 m2 2 Bedrooms Apartments for Rent in Amman Daheit Al Rasheed,40,JOD,2,2,160,Furnished,First Floor,"Daheit Al Rasheed, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 160 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/270393433
280304641,184 m2 More than 6 bedrooms Apartments for Rent in Amman 4th Circle,1000,JOD,6,3,184,Furnished,Second Floor,"4th Circle, Amman",More than 6 bedrooms | 3 Bathrooms | Furnished | Surface Area: 184 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280304641
280287195,85 m2 2 Bedrooms Apartments for Rent in Amman Swefieh,40,JOD,2,2,85,Furnished,Second Floor,"Swefieh, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 85 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280287195
279780781,"Two Master bedrooms, Super deluxe Luxurious Furnished apartment, Abdoun Heliopolis, for rent.",9500,JOD,2,3,95,Furnished,Second Floor,"Abdoun, Amman",2 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 95 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279780781
279531299,300 m2 4 Bedrooms Apartments for Rent in Amman Jubaiha,1100,JOD,4,4,300,Furnished,Second Floor,"Jubaiha, Amman",4 Bedrooms | 4 Bathrooms | Furnished | Surface Area: 300 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279531299
273111815,40 m2 Studio Apartments for Rent in Amman Jabal Al Hussain,20,JOD,0,2,40,Furnished,Fourth Floor,"Jabal Al Hussain, Amman",Studio | 2 Bathrooms | Furnished | Surface Area: 40 m2 | Fourth Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/273111815
270443435,100 m2 Studio Apartments for Rent in Amman Jubaiha,20,JOD,0,1,100,Furnished,Third Floor,"Jubaiha, Amman",Studio | One Bathroom | Furnished | Surface Area: 100 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/270443435
280351125,35 m2 Studio Apartments for Rent in Amman University Street,140,JOD,0,1,35,Furnished,Fourth Floor,"University Street, Amman",Studio | One Bathroom | Furnished | Surface Area: 35 m2 | Fourth Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280351125
280866950,50 m2 Studio Apartments for Rent in Amman Al Gardens,20,JOD,0,1,50,Furnished,First Floor,"Al Gardens, Amman",Studio | One Bathroom | Furnished | Surface Area: 50 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280866950
280255211,90 m2 2 Bedrooms Apartments for Rent in Amman Swefieh,35,JOD,2,2,90,Furnished,Ground Floor,"Swefieh, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 90 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280255211
279633115,200 m2 3 Bedrooms Apartments for Rent in Amman Abdoun,,,3,3,200,Furnished,Second Floor,"Abdoun, Amman",3 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 200 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279633115
271414367,35 m2 Studio Apartments for Rent in Amman Al Bayader,25,JOD,0,1,35,Furnished,First Floor,"Al Bayader, Amman",Studio | One Bathroom | Furnished | Surface Area: 35 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/271414367
258244311,25 m2 Studio Apartments for Rent in Amman Daheit Al Rasheed,15,JOD,0,1,25,Furnished,Ground Floor,"Daheit Al Rasheed, Amman",Studio | One Bathroom | Furnished | Surface Area: 25 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/258244311
242786751,40 m2 1 Bedroom Apartments for Rent in Amman Mecca Street,229,JOD,1,1,40,Furnished,First Floor,"Mecca Street, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 40 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/242786751
280401675,40 m2 1 Bedroom Apartments for Rent in Amman Sports City,229,JOD,1,1,40,Furnished,First Floor,"Sports City, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 40 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280401675
280302525,70 m2 1 Bedroom Apartments for Rent in Amman Jubaiha,500,JOD,1,1,70,Furnished,Fourth Floor,"Jubaiha, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 70 m2 | Fourth Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280302525
279582707,42 m2 1 Bedroom Apartments for Rent in Amman Al Rabiah,250,JOD,1,1,42,Furnished,First Floor,"Al Rabiah, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 42 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279582707
278982967,140 m2 3 Bedrooms Apartments for Rent in Amman Dahiet Al Ameer Rashed,40,JOD,3,2,140,Furnished,First Floor,"Dahiet Al Ameer Rashed, Amman",3 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 140 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/278982967
279502129,60 m2 Studio Apartments for Rent in Amman Swefieh,280,JOD,0,1,60,Furnished,First Floor,"Swefieh, Amman",Studio | One Bathroom | Furnished | Surface Area: 60 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279502129
280062849,195 m2 3 Bedrooms Apartments for Rent in Amman Dahiet Al-Nakheel,9600,JOD,3,3,195,Furnished,Ground Floor,"Dahiet Al-Nakheel, Amman",3 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 195 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280062849
279996599,90 m2 Studio Apartments for Rent in Amman University Street,30,JOD,0,2,90,Furnished,First Floor,"University Street, Amman",Studio | 2 Bathrooms | Furnished | Surface Area: 90 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279996599
273111185,30 m2 Studio Apartments for Rent in Amman Jabal Al Hussain,20,JOD,0,1,30,Furnished,Third Floor,"Jabal Al Hussain, Amman",Studio | One Bathroom | Furnished | Surface Area: 30 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/273111185
280015425,140 m2 2 Bedrooms Apartments for Rent in Amman Al Hummar,39,JOD,2,2,140,Furnished,First Floor,"Al Hummar, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 140 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280015425
280076103,70 m2 Studio Apartments for Rent in Amman Al Rabiah,45,JOD,0,1,70,Furnished,First Floor,"Al Rabiah, Amman",Studio | One Bathroom | Furnished | Surface Area: 70 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280076103
